,keywords,citation
0,"2016 election, endorsements, mixed methods, content analysis, gatekeeping, norms","Kirsten Adams (2020) Between Trump and a Hard Place: Civil Gatekeeping and Moral Equivalence in Press Endorsements of 2016 Presidential Candidates, Journalism Studies, 21:11, 1531-1550, DOI: 10.1080/1461670X.2020.1770118"
1,"360-degree video, virtual reality, digital news, immersive journalism, New York Times, international reporting, human rights, cultural “Other”","Lindsay Palmer (2020) “Breaking Free” from the Frame: International Human Rights and the New York Times’ 360-Degree Video Journalism, Digital Journalism, 8:3, 386-403, DOI: 10.1080/21670811.2019.1709982"
2,"Activism, content analysis, international news, news audiences‌, protest paradigm, social media","Summer Harlow, Danielle K. Kilgo, Ramón Salaverría & Víctor García-Perdomo (2020) Is the Whole World Watching? Building a Typology of Protest Coverage on Social Media From Around the World, Journalism Studies, 21:11, 1590-1608, DOI: 10.1080/1461670X.2020.1776144"
3,"Advocacy journalism, journalism‌, critical theory, social constructivism, sustainability, Bernie Sanders","Norman Laws & Joanna Chojnicka (2020) “A Future to Believe in”: Introducing Varieties of Advocacy Journalism. The Examples Sustainability and the Sanders Campaign, Journalism Studies, 21:9, 1261-1283, DOI: 10.1080/1461670X.2020.1742773"
4,"Affect, emotion, journalism studies, news audiences, objectivity, social media","Karin Wahl-Jorgensen (2020) An Emotional Turn in Journalism Studies?, Digital Journalism, 8:2, 175-194, DOI: 10.1080/21670811.2019.1697626"
5,"Africa, big data analysis, computer-assisted coding, media, newspapers, United States","Erik Bleich, Mira Chugh, Adrienne Goldstein, Amelia Pollard, Varsha Vijayakumar & A. Maurits van der Veen (2020) Afro-Pessimist or Africa Rising? US Newspaper Coverage of Africa, 1994–2018, Journalism Studies, 21:13, 1775-1794, DOI: 10.1080/1461670X.2020.1790027"
6,"Africa, development, hierarchy of influences, Journalism, press freedom, Uganda","Karen McIntyre & Meghan Sobel Cohen (2021) Salary, Suppression, and Spies: Journalistic Challenges in Uganda, Journalism Studies, 22:2, 243-261, DOI: 10.1080/1461670X.2020.1852097"
7,"Agenda setting, network agenda-setting model, intermedia agenda setting, substantive attribute, affective attribute, machine learning","Yan Su, Jun Hu & Danielle Ka Lai Lee (2020) Delineating the Transnational Network Agenda-Setting Model of Mainstream Newspapers and Twitter: A Machine-Learning Approach, Journalism Studies, 21:15, 2113-2134, DOI: 10.1080/1461670X.2020.1812421"
8,"Agenda-cutting, agenda-setting, conceptualization, operational model, anticipatory obedience, self-censorship, climate of silence","Yosuke Buchmeier (2020) Towards a Conceptualization and Operationalization of Agenda-Cutting: A Research Agenda for a Neglected Media Phenomenon, Journalism Studies, 21:14, 2007-2024, DOI: 10.1080/1461670X.2020.1809493"
9,"Algorithmic content curation, personalization, quantitative methods, qualitative methods, computational journalism, data collection, computational social science","Mario Haim (2020) Agent-based Testing: An Automated Approach toward Artificial Reactions to Human Behavior, Journalism Studies, 21:7, 895-911, DOI: 10.1080/1461670X.2019.1702892"
