county,municipal,muni_budget_pc,muni_budget
Warren,Liberty,710,"1,990,565"
Atlantic,Brigantine,"3,336","28,854,260"
Monmouth,Deal,"16,013","11,513,126"
Monmouth,Manalapan,912,"35,881,898"
Bergen,Norwood,"1,908","11,055,069"
Bergen,North Arlington,"1,556","24,402,362"
Middlesex,Old Bridge,875,"57,407,538"
Morris,Riverdale,"2,134","8,822,267"
Bergen,Montvale,"2,302","19,732,251"
Union,Winfield,"1,348","2,026,528"
Bergen,Mahwah,"1,612","42,234,843"
Monmouth,Shrewsbury,"2,379","9,640,419"
Bergen,Hillsdale,"1,416","14,594,332"
Bergen,Hasbrouck Heights,"1,713","20,543,893"
Morris,Jefferson,"1,571","32,553,824"
Middlesex,South Plainfield,"1,287","30,955,055"
Bergen,Fort Lee,"2,180","84,139,588"
Middlesex,South Amboy,"2,085","19,131,379"
Bergen,Glen Rock,"1,699","19,890,666"
Bergen,Edgewater,"2,425","32,413,027"
Bergen,Fair Lawn,"1,558","51,267,350"
Monmouth,Asbury Park,"3,149","48,516,003"
Monmouth,Allenhurst,"11,760","5,680,157"
Middlesex,Woodbridge,"1,692","169,397,243"
Middlesex,Spotswood,"1,380","11,351,114"
Monmouth,Colts Neck,"1,309","12,861,549"
Monmouth,Brielle,"2,069","9,653,981"
Monmouth,Belmar,"2,998","16,622,511"
Monmouth,Atlantic Highlands,"1,942","8,448,812"
Salem,Upper Pittsgrove,554,"1,858,635"
Salem,Alloway,531,"1,784,277"
Somerset,Bound Brook,"1,525","15,526,648"
Somerset,Far Hills,"3,488","3,149,893"
Somerset,Green Brook,"1,453","10,177,718"
Salem,Penns Grove,"1,365","6,495,504"
Salem,Pittsgrove,447,"3,935,825"
Bergen,Emerson,"1,660","12,606,268"
Ocean,Barnegat Twp,"1,130","26,730,500"
Bergen,Little Ferry,"1,593","17,107,125"
Bergen,River Edge,"1,469","16,802,849"
Morris,Wharton,"2,165","13,789,025"
Morris,Victory Gardens,"1,210","1,778,621"
Ocean,Berkeley Twp,"1,131","47,546,109"
Somerset,Manville,"1,331","13,467,923"
Bergen,Teaneck,"1,790","72,095,631"
Ocean,Lakewood,957,"101,681,755"
Somerset,North Plainfield,"1,245","26,504,874"
Somerset,Raritan,"1,471","11,422,297"
Ocean,Barnegat Light,"6,068","3,562,113"
Ocean,Ocean Gate,"1,755","3,571,428"
Morris,Washington Twp,"1,253","22,751,507"
Ocean,Ship Bottom,"6,637","7,652,850"
Sussex,Andover,"1,232","693,893"
Bergen,Wyckoff,"1,179","19,983,461"
Monmouth,Eatontown,"2,159","26,252,787"
Essex,Nutley,"2,000","56,875,240"
Bergen,Park Ridge,"1,745","15,171,363"
Bergen,Westwood,"1,791","19,839,839"
Bergen,Ridgefield Park,"1,757","22,668,108"
Essex,Newark,"2,521","711,085,865"
Bergen,Wallington,"1,158","13,313,208"
Bergen,Rockleigh,"2,487","1,315,485"
Monmouth,Farmingdale,691,"935,665"
Bergen,Saddle River,"4,401","13,963,591"
Monmouth,Englishtown,"1,278","2,443,581"
Burlington,Evesham,911,"41,159,502"
Monmouth,Highlands,"2,378","11,210,101"
Essex,Livingston,"1,553","47,059,397"
Essex,Glen Ridge,"1,972","14,939,163"
Monmouth,Freehold Twp,"1,259","43,581,709"
Burlington,Delran,"1,096","18,078,671"
Burlington,Burlington,"1,865","18,384,088"
Monmouth,Interlaken,"3,191","2,517,585"
Essex,Montclair,"2,159","83,268,209"
Atlantic,Northfield,"1,626","13,055,623"
Burlington,Beverly,"1,243","3,081,380"
Monmouth,Holmdel,"1,513","25,313,618"
Essex,Maplewood,"1,816","46,093,967"
Bergen,Oradell,"2,175","17,686,624"
Essex,Caldwell,"1,646","13,069,879"
Monmouth,Lake Como,"2,116","3,559,091"
Essex,Bloomfield,"1,728","86,373,877"
Monmouth,Keansburg,"1,863","17,947,352"
Essex,Fairfield,"3,142","23,486,315"
Burlington,Mansfield,983,"8,388,584"
Burlington,Hainesport,743,"4,437,385"
Essex,East Orange,"2,374","152,822,899"
Monmouth,Little Silver,"1,923","11,119,575"
Sussex,Franklin,"1,495","7,060,108"
Sussex,Hampton Twp,912,"4,415,421"
Sussex,Byram,"1,486","11,789,800"
Sussex,Sparta,"1,466","27,234,504"
Burlington,Moorestown,"1,297","26,606,975"
Sussex,Wantage,589,"6,416,914"
Burlington,Pemberton Twp,908,"24,493,900"
Bergen,Teterboro,"86,900","5,909,207"
Sussex,Hopatcong,"1,298","18,411,035"
Burlington,Chesterfield,699,"5,290,000"
Sussex,Newton,"1,637","13,130,000"
Warren,Phillipsburg,"1,294","18,384,582"
Warren,Hardwick,932,"1,509,253"
Ocean,Lakehurst,"1,559","4,220,747"
Warren,Harmony,"1,405","3,465,857"
Ocean,Lacey,"1,111","32,535,500"
Warren,Frelinghuysen,797,"1,732,478"
Union,Clark,"1,505","23,953,164"
Ocean,Jackson,799,"46,147,903"
Warren,Greenwich,"1,030","5,603,592"
Union,Fanwood,"1,304","10,036,869"
Ocean,Island Heights,"1,754","2,944,710"
Warren,Alpha,"1,375","3,101,580"
Warren,Blairstown,815,"4,640,122"
Ocean,Bay Head,"6,016","5,877,849"
Gloucester,Harrison Twp,964,"12,645,592"
Mercer,Hopewell Twp,"1,348","23,888,750"
Gloucester,Greenwich,"2,499","11,981,251"
Ocean,Beach Haven,"10,479","12,626,857"
Mercer,Hopewell,"1,732","3,300,917"
Mercer,Hamilton,"1,232","107,260,565"
Gloucester,Franklin Twp,939,"15,298,742"
Mercer,East Windsor,822,"22,437,174"
Gloucester,East Greenwich,817,"8,756,215"
Ocean,Eagleswood,"1,109","1,778,137"
Ocean,Harvey Cedars,"13,813","4,765,629"
Ocean,Beachwood,966,"10,928,259"
Ocean,Brick,"1,383","105,279,409"
