county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Warren,Liberty,"2,942",1.02,1.5,4.15,4.62,9.62
Atlantic,Brigantine,"9,450",2.91,4.72,6.88,4.01,21.76
Monmouth,Deal,750,1.6,3.47,7.33,2.8,28.67
Monmouth,Manalapan,"38,872",2.38,6.9,5.66,5.27,12.44
Bergen,Norwood,"5,711",1.37,27.18,4.55,3.75,20.03
Bergen,North Arlington,"15,392",1.43,7.87,20.86,5.05,16.29
Middlesex,Old Bridge,"65,375",6.21,14.34,10.81,5.77,12.15
Morris,Riverdale,"3,559",1.21,5.31,7.19,6.38,15.03
Bergen,Montvale,"7,844",1.03,11.04,5.34,5.76,14.52
Union,Winfield,"1,471",0.95,0.14,6.39,4.01,15.84
Bergen,Mahwah,"25,890",2.62,7.81,6.26,4.18,14.21
Monmouth,Shrewsbury,"3,809",0.66,2.13,2.49,5.93,17.62
Bergen,Hillsdale,"10,219",1.01,6.26,7.77,5.24,14.79
Bergen,Hasbrouck Heights,"11,842",2.86,9.99,14.86,5.64,15.01
Morris,Jefferson,"21,314",1.56,4.6,6.48,5.94,10.78
Middlesex,South Plainfield,"23,385",10.1,14.68,13.24,5.57,13.53
Bergen,Fort Lee,"35,345",2.75,38.44,10.97,5.14,21.82
Middlesex,South Amboy,"8,631",4.43,4.03,13.42,6.02,11.31
Bergen,Glen Rock,"11,601",1.37,9.09,4.54,6.06,12.93
Bergen,Edgewater,"11,513",4.95,35.47,11.1,8.29,11.64
Bergen,Fair Lawn,"32,457",1.75,9.72,10.15,5.22,16.34
Monmouth,Asbury Park,"16,116",51.35,0.48,25.53,7.69,10.33
Monmouth,Allenhurst,496,1.01,1.01,4.44,3.43,19.76
Middlesex,Woodbridge,"99,585",9.85,22.42,15.63,6.21,12.64
Middlesex,Spotswood,"8,257",2.98,5.14,8.32,5.52,18.94
Monmouth,Colts Neck,"10,142",1.67,4.58,3.54,4.16,13.57
Monmouth,Brielle,"4,774",2.53,0.94,3.18,3.73,16.93
Monmouth,Belmar,"5,794",3.49,0.91,16.76,4.94,14.83
Monmouth,Atlantic Highlands,"4,385",1.44,2.17,5.13,5.34,15.55
Salem,Upper Pittsgrove,"3,505",2.17,0.23,3.02,4.68,15.69
Salem,Alloway,"3,467",5.08,0.89,1.96,5.34,11.85
Somerset,Bound Brook,"10,402",5.74,2.57,48.66,7.09,10.12
Somerset,Far Hills,919,0.65,1.85,9.58,5.55,16.32
Somerset,Green Brook,"7,203",3.37,20.21,6.86,5.62,13.45
Salem,Penns Grove,"5,147",39.77,0.49,28.27,9.46,9.54
Salem,Pittsgrove,"9,393",6.97,0.94,4.8,5.01,12.53
Bergen,Emerson,"7,401",1.08,8.55,8.36,5.34,19.85
Ocean,Barnegat Twp,"20,936",3.25,1.73,6.78,5.09,24.1
Bergen,Little Ferry,"10,626",3.94,24.24,22.98,5.65,13.16
Bergen,River Edge,"11,340",1.52,22.19,7.66,5.93,13.8
Morris,Wharton,"6,522",4.57,5.67,40.33,5.89,11.71
Morris,Victory Gardens,"1,520",16.25,2.43,62.96,9.01,6.25
Ocean,Berkeley Twp,"41,255",1.75,1.13,4.92,3.11,43.38
Somerset,Manville,"10,344",2.72,1.99,18.98,6.45,14.23
Bergen,Teaneck,"39,776",27.69,9.11,16.53,6.59,14.85
Ocean,Lakewood,"92,843",6.35,0.84,17.3,17.42,12.16
Somerset,North Plainfield,"21,936",18.85,5.81,44.21,7.34,8.4
Somerset,Raritan,"6,881",2.09,14.29,16.39,5.06,13.56
Ocean,Barnegat Light,574,1.05,0,1.92,1.39,41.29
Ocean,Ocean Gate,"2,011",1.34,0.2,6.36,6.12,13.53
Morris,Washington Twp,"18,533",1.39,3.3,4.57,4.89,11.35
Ocean,Ship Bottom,"1,156",1.3,0.43,9.17,3.2,28.81
Sussex,Andover,606,1.16,2.15,7.59,4.79,12.05
Bergen,Wyckoff,"16,696",0.56,4.23,4.41,4.96,16.63
Monmouth,Eatontown,"12,709",12.41,8.67,12.36,5.91,13.96
Essex,Nutley,"28,370",2.21,9.95,11.82,5.36,14.5
Bergen,Park Ridge,"8,645",1.04,6.07,7.74,4.73,19.21
Bergen,Westwood,"10,908",4.62,7.38,11.58,6.33,16.59
Bergen,Ridgefield Park,"12,729",6.4,11.48,36.18,5.28,12.48
Essex,Newark,"277,140",52.35,1.62,33.83,7.55,8.55
Bergen,Wallington,"11,335",3.23,5.57,10.81,5.9,13.5
Bergen,Rockleigh,531,2.07,1.51,3.77,1.88,57.06
Monmouth,Farmingdale,"1,329",2.86,3.16,6.92,5.64,10.38
Bergen,Saddle River,"3,152",2.09,9.42,5.14,3.59,24.46
Monmouth,Englishtown,"1,847",2.6,6.82,8.01,5.04,10.12
Burlington,Evesham,"45,538",4.19,6.16,3.39,5.59,13.09
Monmouth,Highlands,"5,005",1.62,1.3,6.47,5.03,12.87
Essex,Livingston,"29,366",2.26,19.21,4.06,5.69,16.83
Essex,Glen Ridge,"7,527",5.04,4.65,5.01,7.29,9.54
Monmouth,Freehold Twp,"36,184",5.34,7.03,7.76,4.77,12.98
Burlington,Delran,"16,896",9.56,4.04,4.61,6.69,11.89
Burlington,Burlington,"9,920",32.98,2.03,6.5,6.91,15.69
Monmouth,Interlaken,820,0,0.49,1.71,3.29,26.59
Essex,Montclair,"37,669",27.16,3.81,7.46,5.82,11.32
Atlantic,Northfield,"8,624",3.24,4.5,8,4.84,16.06
Burlington,Beverly,"2,577",29.88,0.78,9.16,7.06,11.33
Monmouth,Holmdel,"16,773",0.86,19.16,3.7,4.43,16.33
Essex,Maplewood,"23,867",35.3,3.04,6.68,7.75,10.99
Bergen,Oradell,"7,978",0.68,11.26,4.98,5.06,16.58
Essex,Caldwell,"7,822",3.32,4.72,10.05,4.63,16.07
Monmouth,Lake Como,"1,759",6.14,1.19,18.31,5.46,10.52
Essex,Bloomfield,"47,315",18.51,8.22,24.53,6.35,11.97
Monmouth,Keansburg,"10,105",6.57,1.7,14.77,6.68,10.87
