municipal,name,website,medium
Aberdeen Township,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Aberdeen Township,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Aberdeen Township,Independent,http://www.centraljersey.com/news/independent/,Newspaper
Aberdeen Township,"Link News, The",http://thelinknews.net,Newspaper
Aberdeen Township,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Aberdeen Township,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Aberdeen Township,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Aberdeen Township,Patch-Matawan-Aberdeen,https://patch.com/new-jersey/matawan-aberdeen,Digital-first (online)
Aberdeen Township,WLIW-TV,https://www.wliw.org/,Television
Aberdeen Township,WLVT-TV,https://www.wlvt.org/,Television
Aberdeen Township,WNDT-CD,no website,Television
Aberdeen Township,WNYC-FM,https://www.wnyc.org/,Radio
Absecon City,"Current of Pleasantville & Absecon, The",https://www.pressofatlanticcity.com/currents_gazettes/pleasantville_absecon/,Newspaper
Absecon City,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Absecon City,Route 40,http://rtforty.com,Digital-first (online)
Absecon City,Shore Local,https://www.shorelocalnews.com/,Magazine
Alexandria Township,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Alexandria Township,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Alexandria Township,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Alexandria Township,WLIW-TV,https://www.wliw.org/,Television
Alexandria Township,WLVT-TV,https://www.wlvt.org/,Television
Alexandria Township,WNDT-CD,no website,Television
Allamuchy Township,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Allamuchy Township,"Morning Call, The",http://www.mcall.com/,Newspaper
Allamuchy Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Allamuchy Township,WLIW-TV,https://www.wliw.org/,Television
Allamuchy Township,WLVT-TV,https://www.wlvt.org/,Television
Allamuchy Township,WNDT-CD,no website,Television
Allendale Borough,201,http://www.201magazine.com/#201magazine,Magazine
Allendale Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Allendale Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Allendale Borough,Northern Highlands Daily Voice,https://dailyvoice.com/new-jersey/northernhighlands,Digital-first (online)
Allendale Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Allendale Borough,"Record, The",no website,Newspaper
Allendale Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Allendale Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Allendale Borough,WLIW-TV,https://www.wliw.org/,Television
Allendale Borough,WNDT-CD,no website,Television
Allendale Borough,WNYC-FM,https://www.wnyc.org/,Radio
Allenhurst Borough,Asbury Park Sun,http://asburyparksun.com/,Digital-first (online)
Allenhurst Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Allenhurst Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Allenhurst Borough,"Coaster, The",http://thecoaster.net/wordpress/,Newspaper
Allenhurst Borough,"Link News, The",http://thelinknews.net,Newspaper
Allenhurst Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Allenhurst Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Allenhurst Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Allenhurst Borough,WLIW-TV,https://www.wliw.org/,Television
Allenhurst Borough,WNDT-CD,no website,Television
Allenhurst Borough,WNYC-FM,https://www.wnyc.org/,Radio
Allentown Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Allentown Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Allentown Borough,Examiner,http://www.centraljersey.com/news/examiner/,Newspaper
Allentown Borough,"Link News, The",http://thelinknews.net,Newspaper
Allentown Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Allentown Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Allentown Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Allentown Borough,"Source, The",http://mycommunitysource.com,Digital-first (online)
Allentown Borough,WLIW-TV,https://www.wliw.org/,Television
Allentown Borough,WLVT-TV,https://www.wlvt.org/,Television
Allentown Borough,WNDT-CD,no website,Television
Alpha Borough,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Alpha Borough,"Morning Call, The",http://www.mcall.com/,Newspaper
Alpha Borough,New Jersey Herald,http://www.njherald.com/,Newspaper
Alpha Borough,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Alpha Borough,WLVT-TV,https://www.wlvt.org/,Television
Alpha Borough,WNDT-CD,no website,Television
Alpine Borough,201 magazine,http://www.201magazine.com/#201magazine,Magazine
Alpine Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Alpine Borough,Englewood Voice,https://dailyvoice.com/new-jersey/englewood,Digital-first (online)
Alpine Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Alpine Borough,Northern Valley Press (North and South),https://thepressgroup.net/category/northern-valley-press/,Newspaper
Alpine Borough,Northern Valley Suburbanite,no website,Newspaper
Alpine Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Alpine Borough,"Record, The (print only)",no website,Newspaper
Alpine Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Alpine Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Alpine Borough,WLIW-TV,https://www.wliw.org/,Television
Alpine Borough,WNDT-CD,no website,Television
Alpine Borough,WNYC-FM,https://www.wnyc.org/,Radio
Andover Borough,New Jersey Herald,http://www.njherald.com/,Newspaper
Andover Borough,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Andover Borough,Township Journal,http://www.townshipjournal.com/,Newspaper
Andover Borough,WLIW-TV,https://www.wliw.org/,Television
Andover Borough,WLVT-TV,https://www.wlvt.org/,Television
Andover Borough,WNDT-CD,no website,Television
Andover Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Andover Township,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Andover Township,WLIW-TV,https://www.wliw.org/,Television
Andover Township,WLVT-TV,https://www.wlvt.org/,Television
Andover Township,WNDT-CD,no website,Television
Asbury Park City,Asbury Park Press,http://www.app.com/,Newspaper
Asbury Park City,Asbury Park Sun,http://asburyparksun.com/,Digital-first (online)
Asbury Park City,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Asbury Park City,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Asbury Park City,"Coaster, The",http://thecoaster.net/wordpress/,Newspaper
Asbury Park City,Jersey Access Group: Asbury Park City,no website,Television
Asbury Park City,"Link News, The",http://thelinknews.net,Newspaper
Asbury Park City,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Asbury Park City,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Asbury Park City,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Asbury Park City,Patch-Asbury Park,https://patch.com/new-jersey/asbury-park,Digital-first (online)
Asbury Park City,TriCityNews,no website,Newspaper
Asbury Park City,WLIW-TV,https://www.wliw.org/,Television
Asbury Park City,WNDT-CD,no website,Television
Asbury Park City,WNYC-FM,https://www.wnyc.org/,Radio
Atlantic City,AC Primetime,https://acprimetime.com/atlantic-city-primetime-news/,Digital-first (online)
Atlantic City,Philadelphia Business Journal,http://www.pbj.com/,Newspaper
Atlantic City,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Atlantic City,Route 40,http://rtforty.com,Digital-first (online)
Atlantic City,Shore Local,https://www.shorelocalnews.com/,Magazine
Atlantic Highlands Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Atlantic Highlands Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Atlantic Highlands Borough,"Link News, The",http://thelinknews.net,Newspaper
Atlantic Highlands Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Atlantic Highlands Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Atlantic Highlands Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Atlantic Highlands Borough,"Two River Times, The",http://www.tworivertimes.com,Newspaper
Atlantic Highlands Borough,WLIW-TV,https://www.wliw.org/,Television
Atlantic Highlands Borough,WNDT-CD,no website,Television
Atlantic Highlands Borough,WNYC-FM,https://www.wnyc.org/,Radio
Audubon Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Audubon Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Audubon Borough,NJ Pen,https://www.njpen.com,Digital-first (online)
Audubon Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Audubon Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Audubon Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Audubon Borough,WLVT-TV,https://www.wlvt.org/,Television
Audubon Borough,CNB News,https://www.gloucestercitynews.net/,Digital-first (online)
Audubon Park Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Audubon Park Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Audubon Park Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Audubon Park Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Audubon Park Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Audubon Park Borough,WLVT-TV,https://www.wlvt.org/,Television
