Source,Target,Type,Id,Label,timeset,Weight,e_weight,e_crawldate
n0,n0,Directed,0,,,30,15,20191002
n1943,n1,Directed,2,,,36,36,20191004
n30763,n1,Directed,3,,,53,6,20191024
n30337,n2,Directed,9,,,14,14,20191012
n3,n3,Directed,10,,,177,6,20191013
n11853,n3,Directed,20,,,436,7,20191112
n12337,n3,Directed,32,,,25,12,20191008
n20947,n3,Directed,34,,,111,6,20191102
n25221,n3,Directed,40,,,122,6,20191001
n6088,n4,Directed,49,,,186,24,20191102
n6,n6,Directed,56,,,52,6,20191012
n31392,n6,Directed,64,,,168,12,20191102
n15680,n7,Directed,73,,,393,21,20190930
n1943,n8,Directed,82,,,179,15,20191022
n14789,n9,Directed,89,,,14,14,20191111
n20617,n9,Directed,90,,,12,12,20191111
n10,n10,Directed,91,,,32,6,20191111
n12224,n10,Directed,94,,,8,8,20191025
n24359,n10,Directed,95,,,18,6,20191025
n39659,n10,Directed,97,,,12,6,20191024
n12,n12,Directed,99,,,259,37,20191030
n13,n13,Directed,106,,,280,35,20191012
n20400,n14,Directed,114,,,14,14,20191111
n15,n15,Directed,115,,,343,49,20191111
n35871,n16,Directed,122,,,72,8,20191012
n3753,n17,Directed,129,,,64,8,20191024
n33390,n18,Directed,137,,,49,7,20191102
n7486,n19,Directed,144,,,10,10,20191111
n9740,n20,Directed,145,,,48,6,20191012
n20614,n20,Directed,152,,,64,8,20191012
n7592,n21,Directed,159,,,8,8,20191112
n26870,n24,Directed,160,,,6,6,20191030
n5317,n25,Directed,161,,,104,13,20191101
n26,n26,Directed,169,,,10,10,20191030
n12224,n27,Directed,170,,,2801,40,20191031
n28,n28,Directed,177,,,10,10,20191030
n20438,n28,Directed,178,,,141,7,20191111
n30672,n29,Directed,181,,,6,6,20191012
n14603,n30,Directed,182,,,1412,63,20191111
n5729,n31,Directed,190,,,52,12,20191030
n10101,n32,Directed,193,,,8,8,20191020
n12774,n33,Directed,194,,,16,8,20191030
n21046,n34,Directed,196,,,144,8,20190930
n3357,n35,Directed,205,,,136,6,20191102
n31385,n36,Directed,212,,,18,8,20190930
n37,n37,Directed,214,,,99,12,20191030
n38,n38,Directed,222,,,95,95,20191112
n12224,n38,Directed,223,,,6,6,20191112
n34,n39,Directed,224,,,182,6,20191020
n209,n39,Directed,232,,,42,6,20191008
n272,n39,Directed,239,,,4990,1662,20191102
n288,n39,Directed,242,,,14,6,20191102
n336,n39,Directed,244,,,42,6,20191012
n435,n39,Directed,251,,,1262,52,20191001
n445,n39,Directed,261,,,36,6,20191024
n549,n39,Directed,267,,,70,8,20191102
n663,n39,Directed,274,,,42,6,20191102
n900,n39,Directed,281,,,36,6,20191008
n926,n39,Directed,287,,,7,7,20191024
n1026,n39,Directed,288,,,26,8,20191102
n1189,n39,Directed,291,,,6,6,20191111
n1271,n39,Directed,292,,,100,25,20191024
n1339,n39,Directed,294,,,253,6,20191013
n1360,n39,Directed,301,,,1366,68,20191008
n1366,n39,Directed,310,,,6,6,20191024
n1528,n39,Directed,311,,,47,6,20191101
n1578,n39,Directed,318,,,27,9,20191012
n1651,n39,Directed,321,,,6,6,20191024
n1664,n39,Directed,322,,,8,8,20191030
n1689,n39,Directed,323,,,36,6,20191012
n1779,n39,Directed,327,,,22,11,20191111
n1783,n39,Directed,329,,,70,10,20191030
n1862,n39,Directed,336,,,91,13,20191012
n1878,n39,Directed,343,,,36,12,20191008
n1884,n39,Directed,346,,,12,12,20191012
n1902,n39,Directed,347,,,49,7,20191008
n1968,n39,Directed,354,,,24,6,20191030
n1987,n39,Directed,358,,,52,6,20191030
n2217,n39,Directed,366,,,8,8,20191008
n2375,n39,Directed,367,,,550,8,20191112
n2387,n39,Directed,377,,,66,6,20191102
n2469,n39,Directed,384,,,281,10,20191009
n2812,n39,Directed,394,,,232,26,20191020
n2852,n39,Directed,402,,,8,8,20191008
n2918,n39,Directed,403,,,9,9,20191012
n2945,n39,Directed,404,,,1676,7,20191008
n3062,n39,Directed,416,,,26,8,20191102
n3098,n39,Directed,419,,,579,28,20191002
n3165,n39,Directed,428,,,24,6,20191102
n3229,n39,Directed,431,,,83,10,20191001
n3233,n39,Directed,438,,,21,7,20191012
n3288,n39,Directed,441,,,76,19,20191020
n3386,n39,Directed,445,,,118,16,20191024
n3415,n39,Directed,452,,,129,14,20191102
n3424,n39,Directed,460,,,24,6,20191102
n3436,n39,Directed,464,,,24,8,20191102
n3573,n39,Directed,467,,,91,13,20191102
n3614,n39,Directed,474,,,6660,402,20191001
n3723,n39,Directed,483,,,12,12,20191031
n3856,n39,Directed,484,,,600,75,20190930
n4023,n39,Directed,492,,,262,262,20191012
n4075,n39,Directed,493,,,57,19,20191008
n4125,n39,Directed,496,,,72,7,20191030
n4145,n39,Directed,502,,,14,7,20191012
n4254,n39,Directed,504,,,868,7,20191003
n4281,n39,Directed,532,,,540,130,20191008
n4408,n39,Directed,536,,,16,8,20191102
n4448,n39,Directed,538,,,27,9,20191024
n4472,n39,Directed,541,,,39,8,20190930
n4654,n39,Directed,544,,,63,12,20191008
n4676,n39,Directed,547,,,7,7,20191012
n4753,n39,Directed,548,,,105,15,20191008
n4754,n39,Directed,555,,,32,8,20191102
n4763,n39,Directed,558,,,6,6,20191008
n4865,n39,Directed,559,,,44,6,20191020
n4878,n39,Directed,564,,,7,7,20191020
n4923,n39,Directed,565,,,72,9,20191024
n5025,n39,Directed,573,,,56,8,20191102
n5043,n39,Directed,580,,,36,6,20191111
n5109,n39,Directed,586,,,282,39,20191024
n5252,n39,Directed,593,,,66,6,20191102
n5293,n39,Directed,600,,,20,8,20191102
n5386,n39,Directed,602,,,12,6,20191012
n5413,n39,Directed,604,,,24,8,20191008
n5438,n39,Directed,607,,,8,8,20191030
n5496,n39,Directed,608,,,6,6,20191025
n5524,n39,Directed,609,,,30,6,20191030
n5587,n39,Directed,614,,,46,46,20191021
n5601,n39,Directed,615,,,56,9,20191012
n5835,n39,Directed,621,,,266,7,20190930
n5907,n39,Directed,628,,,28,14,20191020
n5929,n39,Directed,630,,,7,7,20191102
n6051,n39,Directed,631,,,528,88,20191012
n6074,n39,Directed,637,,,50,6,20191101
n6121,n39,Directed,641,,,133,8,20191101
n6430,n39,Directed,650,,,10,10,20191102
n6471,n39,Directed,651,,,7,7,20191111
n6479,n39,Directed,652,,,1090,16,20190930
n6529,n39,Directed,661,,,20,6,20191008
n6748,n39,Directed,664,,,834,7,20191112
n6821,n39,Directed,674,,,20,6,20191024
n6965,n39,Directed,677,,,3305,16,20191101
n6980,n39,Directed,693,,,10,10,20191102
n7217,n39,Directed,694,,,841,21,20190930
n7264,n39,Directed,703,,,554,68,20191001
n7382,n39,Directed,711,,,66,6,20191101
n7428,n39,Directed,718,,,56,8,20191024
n7430,n39,Directed,725,,,502,57,20191111
n7509,n39,Directed,733,,,126,18,20191024
n7556,n39,Directed,740,,,16,8,20191012
n7614,n39,Directed,742,,,182,6,20191112
n7724,n39,Directed,745,,,22,11,20191111
n7773,n39,Directed,747,,,662,6,20191012
n7834,n39,Directed,756,,,49,7,20191008
n7843,n39,Directed,763,,,116,7,20191025
n7966,n39,Directed,771,,,6,6,20191111
n7994,n39,Directed,772,,,75,15,20191102
n8008,n39,Directed,777,,,28,7,20191008
n8048,n39,Directed,781,,,72,12,20191102
n8064,n39,Directed,787,,,100,7,20190930
n8076,n39,Directed,795,,,6,6,20191025
