county,municipal,ld,cd,registered,registered_perc,democrats_perc,republicans_perc,turnout
Warren,Liberty,24,5,"2,155",76.91,20.29,41.69,24.45
Atlantic,Brigantine,2,2,"6,904",79.82,34.59,65.41,39.17
Monmouth,Deal,11,6,478,66.48,19.46,31.8,20.5
Monmouth,Manalapan,12,4,"30,284",77.01,26.64,26.41,24.64
Bergen,Norwood,39,5,"4,128",71.26,32.08,23.15,46.1
Bergen,North Arlington,36,9,"10,290",65.61,37.18,20.35,34.72
Middlesex,Old Bridge,12,"6, 12","46,308",70.6,-,-,27.06
Morris,Riverdale,40,11,"3,117",75.38,20.92,41.07,24.25
Bergen,Montvale,39,5,"6,246",72.88,26.29,28.23,32.56
Union,Winfield,22,7,"1,087",72.32,36.34,22.26,23.74
Bergen,Mahwah,39,5,"18,593",70.97,26.51,30.24,30.15
Monmouth,Shrewsbury,11,4,"3,377",83.32,25.7,32.34,34.71
Bergen,Hillsdale,39,5,"8,251",80.05,28.31,27.58,30.53
Bergen,Hasbrouck Heights,38,9,"8,658",72.2,29.68,32.63,41.06
Morris,Jefferson,26,11,"15,490",74.77,21.34,38.13,25.26
Middlesex,South Plainfield,18,6,"16,660",69.27,-,-,31.18
Bergen,Fort Lee,37,9,"23,284",60.31,44.18,15,24.34
Middlesex,South Amboy,19,6,"6,205",67.62,-,-,20.39
Bergen,Glen Rock,38,5,"9,272",79.2,36.61,23.04,43.5
Bergen,Edgewater,32,9,"7,386",55.27,44.87,13.55,20.46
Bergen,Fair Lawn,38,5,"23,934",72.76,37.35,20.36,29.64
Monmouth,Asbury Park,11,6,"8,987",58.33,47.45,8.78,22.34
Monmouth,Allenhurst,11,6,345,71.43,26.67,34.49,32.17
Middlesex,Woodbridge,19,6,"63,427",63.34,-,-,24.06
Middlesex,Spotswood,14,12,"5,930",72.07,-,-,23.52
Monmouth,Colts Neck,11,4,"8,114",82.61,15.69,43.86,30.76
Monmouth,Brielle,30,4,"4,167",89.31,18.45,42.93,31.41
Monmouth,Belmar,30,4,"4,350",78.45,29.79,26.09,41.22
Monmouth,Atlantic Highlands,13,6,"3,571",82.07,31.62,27.7,46.54
Salem,Upper Pittsgrove,3,2,"2,345",69.9,15.45,27.27,37.95
Salem,Alloway,3,2,"2,466",73.41,14.93,32.09,44.44
Somerset,Bound Brook,23,12,"5,435",53.39,37.06,21.16,32.9
Somerset,Far Hills,21,7,832,92.14,20.67,48.92,32.69
Somerset,Green Brook,22,7,"5,425",77.42,27.16,27.77,29.27
Salem,Penns Grove,3,2,"2,389",50.22,40.17,7.26,31.06
Salem,Pittsgrove,3,2,"6,145",69.84,23.28,26.72,37.22
Bergen,Emerson,39,5,"5,412",71.25,22.82,39.07,38.8
Ocean,Barnegat Twp,9,3,"17,364",73.41,23.94,31.7,31.55
Bergen,Little Ferry,36,9,"6,128",57.06,39.15,14.29,19.03
Bergen,River Edge,38,5,"8,109",70.91,33.89,19.06,25.55
Morris,Wharton,25,7,"4,334",68.05,35.14,26.81,30.39
Morris,Victory Gardens,25,11,686,46.67,49.42,10.79,25.07
Ocean,Berkeley Twp,9,3,"33,357",79.35,24.33,34.08,37.85
Somerset,Manville,16,12,"6,215",61.41,29.8,26.89,33.11
Bergen,Teaneck,37,"5, 9","29,684",73.69,53.98,12.21,26.64
Ocean,Lakewood,30,4,"48,537",45.66,14.78,40.61,15.97
Somerset,North Plainfield,22,7,"11,839",55.61,47.55,14.38,23.04
